prompt,completion
What is the Instruction Cycle in LC3?,"The steps are Fetch, Decode, Evaluate Address, Fetch Operands, Execute and Store Result. Fetch and Decode are necessary for every cycle, while the remaining states are optional, depending on the opcode specified."
What is the purpose of a register?,"They are used as temporary storage of values such that they can be quickly accessed, as accessing a value from memory can be time consuming"
What are the different steps in the LC3 assembly process?,"The computer does a “first pass” through the program, where it identifies the memory address of every label in the program, and then builds a symbol table. The computer then does a “second pass” through the program, where it translates the assembly language instructions into machine code."
How can I use a 4:1 mux to represent a 3-input boolean function?,"First draw a truth table with variables A,B,C and output P. Then group together the conditions that have the same A and B values, such that there are four different groups with 2 conditions in each group. Then determine an expression for P in terms of C for each group,  and those 4 expressions will be the 4 inputs to the MUX. The two select inputs will be A and B."
What are the constraints in choosing state numbers for an LC3 FSM?,"When a state J requires waiting for memory access, that state must have 1 as its second bit from the right. Once the memory is ready, the next state that the LC3 moves to must have state number J+2."
What are the three fetch states?,MAR <− PC\nPC <− PC + 1\nMDR <−M[MAR]\nIR <−MDR
Why are some numbers not accurately represented in IEEE-754 floating point representation?,"Some decimal values do not have an exact/finite binary representation, similar to ⅓ in decimal. Hence some precision is lost by representing the value in 754-floating point."
Why can’t I add large numbers (greater than #15) using the add operation in LC3?,"The LC3 ADD opcode only leaves 5 bits for immediate values. Considering that numbers are represented in two’s complement in LC3, this means that the largest immediate value that can be used in the ADD operation is 25-1-1, which is 15. To add numbers larger than that, one would have to store it into another register and use the LDR command."
What is the difference between a Mealy and Moore Machine?,"The current output of a Moore machine is based solely on its current state, whereas the output of a Mealy machine depends on both its current state and the external inputs."
What is de Morgan’s Law?,"De Morgan’s Law is a way to find out an alternative representation of a given boolean logic. Given two variables A and B, the two main forms to remember are:\n(A + B)’ = A’ B’ (The NOT of A OR B is equal to NOT A AND NOT B)\n(AB) ‘ = A’ + B’ (The NOT of A AND B is equal to NOT A OR NOT B)"
How do I check for overflow in a 2’s complement operation?,"Overflow can be indicated in a 2’s complement if the result has the wrong sign, such as if 2 positive numbers sum to a negative number or if 2 negative numbers sum to positive numbers."
How can I use the MSB (Most Significant Bit) in an operation to check for overflow?,"If the carry in bit matches the carry out bit, if not, then the overflow has occurred."
How can I make an AND gate out of an OR gate and inverters?,"Use one inverter on each input of the OR gate, and use a third inverter on the output of the OR gate."
What is the order of precedence in C programming?,"PEMDAS (Parenthesis, Exponents, Multiplication, Division, Addition, Subtraction)"
Why would I use NAND or NOR gates instead of regular/AOI logic gates?,A universal gate such as a NAND or NOR is easier to fabricate onto a chip and they can be used to create normal/AOI logic gates.
What is the difference between signed and unsigned representations?,"In a signed representation, the leftmost bit is used to indicate the sign of the number. In an unsigned representation, all bits are used to represent the magnitude of the number, with no bit reserved for indicating the sign. You cannot use unsigned representation to represent negative numbers."
Why would I use fixed-point representation?,"Fixed-point operations can be implemented with integer arithmetic, which is typically faster than floating-point arithmetic."
What is the difference between clock synchronous and clock asynchronous designs?,"Clock synchronous designs use a system clock to control the timing of all circuit operations. The circuit elements are updated on either the rising or falling edge of the clock signal. Clock asynchronous designs do not rely on a system clock to synchronize the timing of circuits, the circuit elements are designed to operate independently of the clock, using their own timing control."
Why are Hamming codes used?,"Hamming codes are used to detect and correct errors in transmitting data. They are a type of error-correcting code. Hamming codes add parity bits to the original data, the parity bits are used to detect and correct any errors."
What is Hamming distance?,Hamming distance is a measure of the difference between two binary strings of equal length. It is the number of positions at which the corresponding symbols in two binary strings are different.
What is a tri-state buffer used for?,"A tri-state buffer is a digital logic gate that is used to control the flow of data in a digital system. It is effectively a buffer that has a third, enable input, which lets the output be put into a “floating” state. They are commonly used to allow multiple devices to share the same bus without cross-interference."
What would I use a register for?,"A register is a circuit that is used to both store and manipulate data. It is simply a group of flip-flops that are connected together to form a single, larger unit. They are used to temporarily store data that is being actively processed."
What would I use a latch for?,"A latch is used to store and manipulate data similar to a register, but a latch can only store a single bit of information at a time."
How is a clock abstraction related to a clock signal?,"A clock abstraction ignores many details from the actual clock signal, instead, a clock abstraction represents the clock with a simple waveform, this makes it much easier to design and analyze digital circuits."
Why would I use an iterative construct in C?,"An iterative construct would be used in C when you want a section of code to be executed repeatedly, such as when a certain condition is true or false."
Why would I use a constructive construct in C?,A conditional construct would be used in C when you want a section of code to make decisions about what to execute based on certain conditions specified by you in the code.
What is an operator and when would you use it in C?,"An operator is a symbol that is used to perform a certain operation (mathematical or otherwise) on a set of operands. There are many types of operators in C, such as arithmetic, relational, logical, bitwise, assignment, etc. They are each used for a different purpose."
What is a function used for in C?,A function is a block of code that does a certain task. Writing code into a function can make it easier to be called from different parts of the program and can make the program quicker and easier to write.
